Country Name,Country Code,Series Name,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
"Egypt, Arab Rep.",EGY,"Population, total",SP.POP.TOTL,27034499,27747867,28485022,29245936,30026648,30818469,31613132,32408414,33204629,33995955,34781986,35555969,36330768,37120776,37930374,38775584,39649050,40577356,41576636,42632458,43748556,44899573,46088647,47353665,48676443,50035843,51424313,52841319,54298446,55765843,57214630,58611032,59989142,61382200,62775847,64166908,65565195,66993728,68446011,69907887,71371371,72854261,74393759,75963322,77522427,79075310,80629670,82218755,83844783,85501064,87252413,89200054,91240376,93377890,95592324,97723799,99784030,101789386,103740765,105618671,107465134,109262178,110990103,..
"Egypt, Arab Rep.",EGY,Population growth (annual %),SP.POP.GROW,..,2.60451812442641,2.62194328950544,2.63622185854676,2.63446301996047,2.60288990692825,2.54584507652474,2.48454765543641,2.42712134718019,2.3552253036218,2.28580621281616,2.20084374364208,2.15569390488142,2.15118273081426,2.15754030492084,2.20385542788772,2.22762179469207,2.31431888791727,2.43281978499526,2.50775131645115,2.5842718504091,2.59696781360793,2.61383660122245,2.7077568266867,2.7550977467662,2.75444121792758,2.73714675819797,2.71823653037365,2.72021662533725,2.66659415952819,2.5648085572032,2.41133033369101,2.32406409289331,2.29563116641862,2.24505067418641,2.19172285065762,2.15573650351395,2.15540119420392,2.14462708535911,2.11332015702818,2.07183470577985,2.0564198428314,2.09110329331686,2.08785646198219,2.03166566101876,1.98334143708702,1.94660064062847,1.95167431348286,1.95838290327697,1.95615522230144,2.02763965508429,2.20764281063758,2.26158734403113,2.31570750353087,2.34379305041137,2.20525980686911,2.08630284573945,1.98976849465685,1.89893076814734,1.79400212546566,1.73312957205986,1.65838367949689,1.56907383039584,..
"Egypt, Arab Rep.",EGY,GDP (current US$),NY.GDP.MKTP.CD,..,..,..,..,..,4948667540.41066,5278005611.91453,5605484298.98275,5932242990.65421,6524455205.81114,8042200452.1477,8609283346.08518,9299638055.84281,10098534613.4411,9228963224.60004,11632178868.9171,13315988083.4161,14400806875.9867,14811704063.0685,18020571428.5714,21669908176.3889,22136081081.0811,27655172413.7931,30966239813.7369,33971188991.6147,39053502251.0732,41253507951.3564,40455616653.5742,34980124929.0176,39756299049.9793,42978914311.3504,37387836490.5284,41855986519.4235,46578631452.581,51897983392.6453,60159245060.4541,67629716981.1321,78436578171.0914,84828807556.0803,90710704806.8416,99838543960.0763,96684636118.5984,85146067415.7303,80288461538.4615,78782467532.4675,89600665557.4043,107426086956.522,130437828371.278,162818181818.182,189147005444.646,218983666061.706,235989672977.625,279116666666.667,288434108527.132,305595408895.265,329366576819.407,332441717791.411,248362771739.13,262588632526.73,318678815489.749,383817841547.099,424671765455.704,476747720364.742,..
"Egypt, Arab Rep.",EGY,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,..,5.1611141431878,3.87561672366319,10.5180926175286,11.5075774740906,4.91404229213488,5.04640371259349,0.805264126957468,-1.60679234953595,5.27951751357298,5.59851503849526,4.05734632658536,3.05568062512478,3.50683016245965,1.55893857167666,8.93914715895075,13.2796894430585,9.00304426669794,8.62876764492904,4.54768962845593,10.0113290379584,7.3485538963137,9.90717113399219,5.09440684043983,9.74576271173548,5.79150579143601,4.74452554739075,3.83275261319909,5.46132049552625,4.92086860385487,5.66702915715834,1.12540459360228,4.47285918516198,2.90079079860183,3.97317218132913,4.6424587739578,4.98873056587423,5.49235474181435,5.57549746119194,6.05343878285713,6.37000383212826,3.5352519726413,2.39020402595989,3.19345473739745,4.0920716112534,4.47174447174434,6.84383819379117,7.08782742681038,7.15628356605819,4.67359979952391,5.1472348575531,1.7645719489982,2.22619979863525,2.18546605362143,2.91591187985748,4.37201907790141,4.34664345555447,4.18122099994778,5.3311086189448,5.55209307156956,3.55016483786838,3.29064601202211,6.58784560886967,..
"Egypt, Arab Rep.",EGY,GDP per capita (current US$),NY.GDP.PCAP.CD,..,..,..,..,..,160.5747365455,166.956112159799,172.963857440933,178.65710803919,191.91857401303,231.217402368792,242.133278552616,255.971413977343,272.045353077779,243.313267214292,299.987199906961,335.846333857081,354.897615211466,356.250661142198,422.696046016662,495.328535561011,493.013175895483,600.043052116351,653.935441189967,697.897933742092,780.510528244187,802.217969374844,765.60573087841,644.219632529034,712.914876046603,751.187490181277,637.897597341886,697.726040479516,758.829619215034,826.718967131504,937.543150130502,1031.48807810504,1170.8047978923,1239.35356227086,1297.57469006096,1398.85983078672,1327.09651832991,1144.53239841974,1056.93720896595,1016.25388395628,1133.10546057176,1332.33941000282,1586.47292057972,1941.89997269337,2212.21814788932,2509.77203417522,2645.6225349104,3059.13542779204,3088.8908340843,3196.86138078687,3370.38244716015,3331.61246134688,2439.96728439968,2531.20007864537,3017.25833578941,3571.5569065135,3886.7224983901,4295.40749561014,..
"Egypt, Arab Rep.",EGY,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,..,2.45753430859736,1.18745203676451,7.64265844007656,8.60830933650321,2.2184787363398,2.40583996479842,-1.66843335374661,-3.96616663525421,2.82891950931203,3.21211575772323,1.79222406028205,0.857889532663819,1.30398763882854,-0.608767803951267,6.5645483245343,10.7841452315561,6.50933373486728,6.01791295884465,1.95849454242791,7.2047581349872,4.59663439676584,7.07159734053758,2.2868877951351,6.76343139166957,2.91730673031741,1.91639576008984,1.04834760148054,2.63121118540559,2.16002864261388,2.99133208157623,-1.28389809919649,2.0728399954949,0.565475840383996,1.66492933928521,2.37393676032795,2.74967099933494,3.24290073327806,3.33540343760552,3.83570651361936,4.18886598221562,1.42787503009416,0.271350019435516,1.061259565654,1.99860684770231,2.4201256292698,4.78412756450419,5.01808482067953,5.07816837248258,2.64591866388851,3.03669718542545,-0.457409359166903,-0.0597877604860599,-0.153662237734693,0.531824069545834,2.09553830616976,2.19220862672384,2.12874338092006,3.34981502229812,3.67537083093788,1.77096873118485,1.59181628823583,4.92845618453779,..
"Egypt, Arab Rep.",EGY,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,..,1.60997143800815,0.396026870406871,0.915371108477771,0.862295139733064,5.46455767954484,2.75119762095611,2.83201329337138,1.80143115333173,0.80631020465411,12.5161736901833,1.32672970158035,3.39909361926729,7.35261504268527,9.42497991712456,9.66387925082606,11.5332789915052,12.3379171369614,9.54762169159649,23.4998656373929,12.4308665172346,-2.19823538127083,24.7308589705854,12.7118644063538,8.24745260848205,11.5760417629859,12.8751716472175,12.4693725365314,13.4175543444963,19.1374048493222,17.7430513642448,16.1252711769934,18.3507806800844,8.42910538936863,8.44887156286191,11.3997414980845,7.10766744779387,9.87627742917489,2.37768148900209,0.919435420030595,3.94440699222267,1.86769984364277,3.16557906728183,6.77749360613839,11.6699083405668,6.21272950618375,7.35997773059287,12.5957398238768,12.2039844630996,11.1855422672375,10.1068646295721,11.6629763507332,19.4828774694148,8.71267457488472,11.2476245037869,9.93088973035982,6.24566313377426,29.5184798346035,21.1748208164536,13.6180959109963,6.17693409847963,4.84715643244118,10.4257892435745,..
"Egypt, Arab Rep.",EGY,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,0.332829047091752,0.693606754935329,-3.00307658790784,0.74664570813543,3.66098294885468,14.8390044616241,9.0364406581763,0.70189748435374,-1.6757594245691,3.40982028243742,3.76289859580536,3.14042171394198,2.10236334610113,5.11218403908757,10.0243177516484,9.66969548151245,10.3174158877413,12.7321627929891,11.078100382614,9.90436051231129,20.8192249324218,10.3172842245396,14.8230088495577,16.079873883342,17.0363663799608,12.1067560598247,23.8642898217366,19.693593314763,17.66348615313,21.2618670886078,16.7563747077691,19.7485448195578,13.6374241717218,12.0897922868977,8.15423128587096,15.7422305021596,7.18710369719992,4.62560578826438,3.8725754642749,3.07949912638332,2.68380535348546,2.26975720475956,2.73723855000334,4.50777636319304,11.270619332052,4.86939696871988,7.64452644526434,9.3189690579923,18.3168316831684,11.7634954386443,11.2651882653186,10.0649259874818,7.11172943343083,9.46971981064921,10.0702154687481,10.370490343517,13.813606214829,29.5066083940039,14.4014657807422,9.15279959324804,5.04493288977539,5.21404940513043,13.8956609775178,..
"Egypt, Arab Rep.",EGY,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,0.348241999348242,0.348241999348242,0.40448912538026,0.434782608884688,0.434782608884688,0.434782608884688,0.434782608884688,0.434782608884688,0.434782608884688,0.434782608884688,0.434782608884688,0.434782641394297,0.434782608884688,0.397956243179606,0.391303667451088,0.391303667451088,0.391303667451088,0.391303667451088,0.391303667451088,0.700000700490701,0.700000700490701,0.700000700490701,0.700000700490701,0.700000700490701,0.700000700204867,0.7000007000007,0.7000007000007,0.7000007000007,0.7000007000007,0.866666666666667,1.55,3.13800833333333,3.32174833333333,3.3525175,3.38513333333333,3.39220833333333,3.39148333333333,3.38875,3.388,3.39525,3.47205,3.973,4.49966666666667,5.850875,6.19624166666667,5.77883333333333,5.73316666666667,5.63543333333333,5.4325,5.54455330862978,5.62194291761051,5.93282765151515,6.05605833333333,6.870325,7.07760856060606,7.69125833333333,10.0254007885465,17.7825335150636,17.7672904218107,16.7705818428763,15.7591729166667,15.6445272777113,19.1604397412204,..
"Egypt, Arab Rep.",EGY,Consumer price index (2010 = 100),FP.CPI.TOTL,1.20872070863002,1.21710447711338,1.18055389751081,1.1893684525188,1.23291102876457,1.4158627513308,1.54380634865603,1.55464228658054,1.52859022194483,1.58071240136806,1.64019300612286,1.6917019834377,1.72726770586276,1.81556880983419,1.99756719633179,2.19072586125566,2.41675215932171,2.72445697854963,3.02627505751449,3.32600824930488,4.01845738799857,4.43305305816039,5.09016490527709,5.90865700249978,6.91527745758085,7.75249323023021,9.60257068310286,11.4936619011958,13.5238432796011,16.3992648629815,19.1471871327422,22.9284779653364,26.0553317615891,29.2053672512273,31.5868404447804,36.5593136759471,39.186869460822,40.9994995628414,42.5872361233875,43.898709687758,45.0768656084691,46.1000010132971,47.361868012585,49.496835104023,55.0754349700109,57.7572765309499,62.1725468094228,67.9663872091587,80.4156759553908,89.8753703283582,100,110.064925987482,117.892445724817,129.056530012879,142.052800661666,156.784372636979,178.441948479442,231.094115427901,264.375055382559,288.572774376263,303.131077181708,318.936481308266,363.254813484488,..
"Egypt, Arab Rep.",EGY,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,..,..,..,..,..,..,..,..,..,..,0.00845539730134933,0.02683150161448,0.00032259320007784,0.00693169877408056,0.00140860892861163,0.0687747333509215,0.458095934134773,0.727581477333194,2.1480724692318,6.74942923338636,2.53017091999671,3.39975005914541,1.06154257365756,1.58236842331316,2.14635660163926,3.01527740329376,2.95109102688694,2.34260249653259,3.40193181818182,3.144613175915,1.70781419624217,0.676690666666667,1.09661732566499,1.05842525773196,2.42013257142857,0.994028431372549,0.940414995640802,1.13537589319293,1.26843702157272,1.1743928153446,1.23699720670391,0.527384722609423,0.759753233043019,0.295683832335329,1.59083618380383,5.99950900649954,9.34856726566294,8.87633606337272,5.8314126186488,3.54835118019574,2.91601657550141,-0.204542848807527,1.00234071774049,1.45343420769727,1.50925042253521,2.10258128401326,2.43856278142762,2.98301550917695,3.10040077579187,2.82732944960686,1.52462948997172,1.20617861055665,2.39118080969079,..
"Egypt, Arab Rep.",EGY,"Personal remittances, received (% of GDP)",BX.TRF.PWKR.DT.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6.44175779932776,11.9722686157465,12.2835812492073,12.4412156159365,9.85204729785662,8.81984312194514,11.8382380297068,11.6649268766487,8.22388305753485,6.07498112634467,8.90923422540777,10.7763238143068,8.28410759728831,9.96651513569937,10.8430986666667,14.5833380301941,12.1600824742268,7.07541942857143,5.36243431372549,4.59413426329555,4.71336216622791,3.97270702853166,3.56661323146944,2.85661217289033,3.01123334262615,3.39780812879388,3.68782754491018,4.24041046775191,5.59962358402971,4.96108547838757,5.86930961331901,5.33969849246231,3.7799170984456,5.68677117520305,6.06988425351907,6.89188511375172,6.18272925177381,6.40402291079812,5.56383108965179,5.59207795083782,9.96018840777921,9.71698574857486,8.40388463187991,7.71274724506713,7.4144321712116,5.94293350334715,..
"Egypt, Arab Rep.",EGY,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..,..,..,..,..,..,..,..,..,..,2.4,1.82,1.53,1.71,2.3,2.57,..,3.13,3.64,4.55,5.18,4.97,5.21,6.47,5.89,..,..,..,..,7.06,8.43,9.38,8.92,10.92,10.93,11.04,9,8.37,8.03,7.95,8.98,9.26,10.01,10.91,10.32,11.049,10.49,8.8,8.517,9.087,8.757,11.849,12.597,13.154,13.105,13.052,12.45,11.767,9.855,7.851,7.974,7.441,..,..
"Egypt, Arab Rep.",EGY,Net migration,SM.POP.NETM,-2959,2504,3984,2806,-1750,-4593,-25834,-30046,-43814,-58834,-70830,-113627,-111509,-112685,-121442,-125141,-144535,-92212,-92176,-81024,-50167,-54511,-33767,-3126,-5955,-199,-15155,-6046,10280,6079,6995,-63804,-41760,-42612,-11479,-31423,7378,14366,11316,-163,-2815,927,73253,37743,31302,-18144,-28511,-32607,-46339,-55856,-18831,158511,-2118,163449,5961,-79150,4132,-23281,-61050,-59715,4476,-32370,-29998,-29998
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 03/28/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
